Name of Student,No. of DSA questions,CGPA,Knows ML,Knows DSA,Knows Python,Knows JavaScript,Knows CSS,Was in Coding Club,Age of Candidate,Branch of Engineering,Placement Package
Daniel Calhoun,343,3.84,Yes,Yes,Yes,No,No,No,23,Computer Science,11
Tiffany Campbell,459,2.05,Yes,Yes,No,No,No,Yes,19,Mechanical Engineering,12.19
Nicole Richardson,471,9.73,Yes,No,Yes,Yes,Yes,No,23,Civil Engineering,55.15
Laura Miles,248,9.41,No,No,Yes,No,Yes,Yes,21,Mechanical Engineering,23.92
Ashley Liu,124,4.24,No,Yes,No,Yes,Yes,Yes,24,Mechanical Engineering,5.43
Penny Booth,142,5.01,No,Yes,No,Yes,No,No,25,Mechanical Engineering,33
Stephanie Christensen,0,9.93,,Yes,No,No,Yes,Yes,19,Civil Engineering,34.59
Eric Vargas,427,0.89,Yes,No,Yes,No,Yes,Yes,25,Civil Engineering,9.55
Elizabeth Gibbs,43,4.69,Yes,No,No,No,Yes,Yes,23,Computer Science,8.87
David Perry,189,1.41,Yes,No,Yes,No,Yes,No,20,Electrical Engineering,9.68
Margaret Love,116,6.49,No,Yes,Yes,Yes,No,Yes,22,Electrical Engineering,39.95
James Reyes,487,6.23,No,Yes,No,No,No,Yes,23,Mechanical Engineering,26.82
Joseph Todd,144,3.92,Yes,Yes,Yes,Yes,Yes,Yes,18,Computer Science,12.49
Marc Stephens,177,0.06,Yes,No,Yes,No,No,No,21,Civil Engineering,10.81
Jennifer Ramirez,275,5.25,No,Yes,No,,No,No,23,Electrical Engineering,26.47
Victoria Barrett,99,0.43,Yes,Yes,Yes,Yes,No,Yes,19,Mechanical Engineering,12.77
Lauren Williams,416,1.92,No,No,Yes,No,Yes,No,23,Mechanical Engineering,3.62
Glenda Mcmahon,424,7,Yes,No,No,Yes,Yes,Yes,23,Electrical Engineering,34.71
Bobby Young,350,5.63,No,No,No,Yes,No,No,23,Computer Science,10.61
Holly Perry,58,5.29,No,Yes,Yes,No,No,No,21,Computer Science,10.77
Daniel Leblanc,283,2.26,No,Yes,No,Yes,Yes,No,20,Civil Engineering,6.17
Nicholas Johnson,390,3.11,No,No,No,No,Yes,No,20,Mechanical Engineering,3.12
Matthew Anderson,298,5.6,Yes,Yes,No,No,Yes,No,18,Mechanical Engineering,40.94
Harry Hill,308,3.67,No,No,No,No,Yes,Yes,20,Electrical Engineering,2.84
Mark Bright,63,7.84,No,Yes,No,Yes,Yes,No,21,Civil Engineering,31.56
Krystal Riley,388,7.33,No,Yes,No,No,Yes,Yes,24,Computer Science,47.51
Sonya Robinson,306,3.65,No,No,Yes,Yes,No,Yes,21,Computer Science,3.12
Roy Love,340,9.04,Yes,Yes,Yes,Yes,Yes,No,21,Electrical Engineering,50.94
Jeremy Gay,21,9.63,Yes,Yes,Yes,No,No,No,23,Computer Science,38.8
Jason Mullins MD,149,7.56,No,No,Yes,Yes,No,No,23,Mechanical Engineering,26.13
Chelsea Gentry,45,3.73,Yes,No,Yes,No,No,No,22,Computer Science,10.17
Nicholas Mcbride,247,6.44,No,Yes,No,No,Yes,Yes,22,Civil Engineering,10.1
Leon Jackson,434,1.72,Yes,Yes,No,No,No,Yes,21,Mechanical Engineering,12.23
Kelli Adkins,241,5.47,Yes,Yes,No,No,Yes,Yes,24,Civil Engineering,56.44
Lauren Mills,329,7.58,Yes,No,Yes,Yes,No,No,23,Mechanical Engineering,36.85
Karen Diaz,409,1.7,No,No,No,Yes,No,Yes,25,Electrical Engineering,4.28
Melissa Doyle,149,0.22,No,Yes,Yes,No,Yes,Yes,18,Electrical Engineering,5.5
Matthew Gardner,22,0.81,No,No,Yes,No,Yes,Yes,18,Mechanical Engineering,4.25
Linda Sanders,288,9.94,No,No,No,No,No,Yes,24,Computer Science,49.72
Elizabeth Hahn,146,0.49,No,No,Yes,Yes,Yes,Yes,20,Computer Science,3.79
Julie Meadows,72,2.02,No,Yes,Yes,No,Yes,No,22,Civil Engineering,5.09
James Thompson,165,0.21,Yes,Yes,No,Yes,No,Yes,19,Mechanical Engineering,11.82
Ronald White,393,0.57,Yes,Yes,Yes,No,Yes,Yes,20,Mechanical Engineering,11.74
Shannon White,67,5.02,No,Yes,No,No,Yes,No,24,Computer Science,42.55
David Proctor,422,9.33,Yes,Yes,Yes,Yes,Yes,No,25,Electrical Engineering,30.58
Ryan Woodward,62,9.76,No,No,No,No,Yes,Yes,18,Electrical Engineering,6.69
Danielle Patton,83,8.38,No,Yes,Yes,Yes,Yes,No,22,Electrical Engineering,39.27
Hunter Garcia,28,0.7,Yes,Yes,No,Yes,No,Yes,24,Mechanical Engineering,10.77
Erin Garcia,63,3.26,Yes,Yes,Yes,Yes,,Yes,24,Civil Engineering,10.67
Thomas Andrews DVM,389,5.83,Yes,No,Yes,Yes,No,Yes,22,Computer Science,25.96
Nathaniel King,471,2.35,No,No,No,No,Yes,No,22,Mechanical Engineering,4.88
Stacy Bush,488,5.3,No,Yes,Yes,Yes,No,No,19,Civil Engineering,19.22
Jillian Thomas,45,7.29,No,No,No,No,No,Yes,20,Computer Science,17.52
Rachel Hatfield,243,6.78,No,No,No,Yes,No,Yes,22,Electrical Engineering,15.6
Richard Barron,332,0.72,Yes,Yes,Yes,No,Yes,No,24,Computer Science,11.34
Dr. Nathaniel Walker,471,0.48,Yes,Yes,Yes,Yes,Yes,Yes,23,Computer Science,12.27
Matthew Morales,38,9.63,No,Yes,Yes,Yes,No,Yes,19,Electrical Engineering,29.97
John Cortez,253,1.51,No,No,Yes,Yes,Yes,Yes,21,Mechanical Engineering,4.65
Michael Baker,96,7.55,No,No,,No,Yes,No,24,Electrical Engineering,48.38
Christopher Malone,441,7.53,Yes,No,Yes,Yes,Yes,No,22,Computer Science,21.34
Mary Summers,209,3.92,Yes,Yes,Yes,No,No,No,21,Electrical Engineering,12.81
Amy Woods,95,4.42,Yes,No,No,No,Yes,Yes,20,Mechanical Engineering,10.9
Kathy Ward,321,8.21,Yes,Yes,Yes,No,No,No,21,Mechanical Engineering,51.39
Edward Russell,254,3.16,No,No,No,No,No,Yes,20,Computer Science,2.55
Justin Padilla,229,5.26,No,No,No,Yes,Yes,No,19,Mechanical Engineering,37.26
Ryan Clay,405,0.47,No,No,Yes,No,Yes,Yes,24,Electrical Engineering,4.64
Gregory Wilson,402,2.41,No,No,Yes,Yes,No,Yes,19,Computer Science,4.57
Brian Calhoun,222,9.65,No,Yes,No,No,No,No,19,Mechanical Engineering,49.44
Curtis Lee,248,0.56,,No,No,Yes,No,No,25,Mechanical Engineering,9.02
Jordan Perez,312,3.79,No,No,Yes,No,Yes,Yes,19,Computer Science,3.81
Sandra Scott,463,7.09,No,No,Yes,Yes,Yes,Yes,22,Electrical Engineering,43.34
Elizabeth Lewis,228,0.03,Yes,No,No,No,Yes,Yes,23,Computer Science,10.56
Jessica Fernandez,221,4.94,No,No,Yes,Yes,No,Yes,23,Mechanical Engineering,4.51
Kimberly Mueller,476,6.27,No,No,Yes,Yes,Yes,Yes,20,Mechanical Engineering,46.06
Bryan Spencer,171,1.09,Yes,Yes,No,No,No,Yes,25,Mechanical Engineering,11.04
Lawrence Reynolds,254,3.59,Yes,Yes,No,Yes,Yes,Yes,24,Electrical Engineering,11.62
Stephanie Garza,408,2.48,Yes,Yes,Yes,Yes,No,Yes,22,Electrical Engineering,10.59
Lisa Jordan,288,5.15,Yes,No,No,No,Yes,Yes,18,Mechanical Engineering,29.11
Kathleen Beck,220,6.93,Yes,No,Yes,No,Yes,Yes,18,Electrical Engineering,16.27
Isaiah Vance,206,3.62,Yes,Yes,Yes,No,No,Yes,23,Electrical Engineering,11
Shawn Thompson,17,1.77,Yes,Yes,Yes,Yes,No,Yes,20,Computer Science,12.06
Melissa Clark,371,2.83,Yes,Yes,Yes,Yes,Yes,No,24,Computer Science,12.2
Austin Diaz,138,5.28,Yes,Yes,Yes,Yes,Yes,No,20,Mechanical Engineering,49.32
Laurie Matthews,446,1.93,No,No,Yes,Yes,Yes,Yes,24,Computer Science,2.72
Dr. Steven Coleman MD,391,8.49,No,No,No,No,Yes,Yes,21,Computer Science,17.79
Eric Graham,98,4.07,Yes,No,Yes,No,No,Yes,21,Computer Science,10.77
Brandon Carter,203,0.46,Yes,Yes,Yes,No,No,No,19,Mechanical Engineering,11.52
Kenneth Allison,256,0.36,No,No,Yes,Yes,,No,20,Civil Engineering,3.17
James Wilson,48,9.76,Yes,Yes,Yes,No,No,No,24,Computer Science,28.71
Kyle Taylor,335,0.19,No,No,No,No,No,Yes,25,Mechanical Engineering,3.66
Lisa Porter,415,6.7,Yes,No,No,No,Yes,Yes,18,Electrical Engineering,41.57
Hannah Davis,417,3.76,Yes,No,Yes,Yes,Yes,Yes,24,Mechanical Engineering,10.14
Dr. Nicole Flores,432,8.69,Yes,No,No,Yes,Yes,No,25,Civil Engineering,50.68
Nicholas Morris,139,7.46,Yes,No,No,Yes,No,Yes,19,Mechanical Engineering,17.27
Jenna Everett,116,4.77,No,No,No,No,Yes,No,20,Electrical Engineering,2.92
Todd Joseph,262,1.97,No,No,No,No,Yes,Yes,23,Civil Engineering,4.66
Ann Hernandez,269,3.14,No,Yes,Yes,No,Yes,No,23,Civil Engineering,5.74
Martin Taylor,486,8.2,Yes,Yes,Yes,,No,Yes,20,Civil Engineering,44.46
John Martinez,218,8.24,Yes,Yes,No,No,No,Yes,19,Civil Engineering,23.07
Timothy Torres,439,2.77,Yes,Yes,Yes,Yes,Yes,Yes,25,Mechanical Engineering,10.75
Heather Simpson,77,6.15,Yes,Yes,Yes,No,No,No,24,Mechanical Engineering,54.27
Meghan Yoder,371,0.17,Yes,Yes,Yes,No,No,Yes,21,Electrical Engineering,12.51
Lucas Nguyen,62,5.47,Yes,No,No,No,Yes,Yes,25,Electrical Engineering,23.05
Erik Williamson,188,9.45,No,Yes,No,No,No,Yes,25,Electrical Engineering,31.14
Terri Chung,449,6.42,No,No,No,Yes,Yes,Yes,21,Mechanical Engineering,41.28
Clinton Reed,390,6.2,Yes,Yes,No,Yes,Yes,Yes,22,Electrical Engineering,18.87
Mark Reynolds,351,2.09,No,No,Yes,No,No,Yes,24,Electrical Engineering,4.64
Maria Smith,368,5.66,No,No,No,No,,Yes,18,Mechanical Engineering,47.71
Franklin Oliver,318,6.61,No,Yes,Yes,Yes,No,No,20,Computer Science,47.69
Jonathan Jordan,110,9.43,No,Yes,No,No,No,Yes,23,Electrical Engineering,46.63
Karen Lawson,328,2.36,Yes,Yes,Yes,Yes,Yes,Yes,18,Civil Engineering,11.59
Alyssa Nunez PhD,411,9.04,No,No,No,No,Yes,Yes,25,Civil Engineering,5.46
Steven Perez,397,6.53,Yes,Yes,No,No,No,No,20,Mechanical Engineering,23.33
Aaron Douglas,421,6.79,No,Yes,Yes,Yes,No,Yes,23,Mechanical Engineering,38.11
Meagan Williams,231,9.36,Yes,No,No,No,No,No,18,Mechanical Engineering,28.01
Dr. Tanya Williams MD,377,7.74,No,Yes,No,No,No,No,24,Electrical Engineering,49.91
Miss Natasha Burgess,207,5.9,No,Yes,Yes,No,Yes,Yes,22,Electrical Engineering,36.36
Stephanie Baker,112,2.95,No,No,Yes,Yes,No,No,19,Mechanical Engineering,4.44
Daniel Dean,328,4.13,No,No,No,No,Yes,Yes,24,Electrical Engineering,4.44
Samantha Harris,82,5.02,No,Yes,No,Yes,No,No,19,Electrical Engineering,41.64
Tanya Sweeney,41,7.73,No,No,Yes,Yes,No,Yes,20,Mechanical Engineering,13.3
Scott Rivera,470,9.31,No,No,No,No,Yes,No,18,Mechanical Engineering,40.08
Gabrielle Lopez,258,1.53,Yes,Yes,Yes,Yes,No,No,19,Mechanical Engineering,11.23
Xavier Moss,445,0.65,No,Yes,No,No,Yes,No,19,Computer Science,6.56
Nancy Moon,465,7.92,No,Yes,No,No,Yes,Yes,22,Electrical Engineering,19.21
Michael Flores,465,5.66,Yes,No,No,Yes,No,Yes,20,Electrical Engineering,50.24
Julie Long,5,6.97,No,No,No,Yes,Yes,Yes,21,Electrical Engineering,22.94
Jacob Brown,101,9.21,Yes,No,No,No,Yes,Yes,24,Civil Engineering,23.01
Andrea Griffin,377,9.52,No,Yes,Yes,No,Yes,No,25,Electrical Engineering,18.76
Matthew Miller,291,0.34,Yes,Yes,Yes,Yes,Yes,Yes,23,Mechanical Engineering,12.15
Sandra Allen,499,8.58,No,Yes,No,No,Yes,Yes,19,Computer Science,29.49
Ryan Thompson,0,9.2,No,Yes,Yes,Yes,Yes,Yes,21,Civil Engineering,25.57
Brent Harris,124,4.73,No,Yes,No,No,No,Yes,24,Mechanical Engineering,5.42
Tracy Clark,363,5.73,Yes,Yes,No,No,No,Yes,20,Computer Science,21.38
Adam Davis,148,0.8,Yes,No,No,,Yes,Yes,18,Civil Engineering,8.68
Kimberly Lewis,347,4.31,No,No,No,Yes,Yes,No,25,Mechanical Engineering,2.75
Connie Johnston,105,5.72,Yes,Yes,Yes,Yes,No,Yes,20,Computer Science,53.45
Lonnie Taylor,455,0.94,No,Yes,No,Yes,No,No,20,Civil Engineering,5.53
Zachary Rowe,405,1.23,No,Yes,No,,Yes,Yes,21,Civil Engineering,6.8
Timothy Hinton,469,3.21,No,No,No,No,No,Yes,19,Civil Engineering,3.88
Lauren Salazar,303,6.44,Yes,No,,No,Yes,No,19,Mechanical Engineering,16.86
James Bishop,427,9.42,Yes,Yes,No,No,Yes,No,25,Mechanical Engineering,33.51
Shawn Johnson,475,5.74,No,Yes,Yes,No,No,No,19,Mechanical Engineering,8.31
Charles Smith,128,8.97,No,No,No,No,Yes,No,20,Civil Engineering,22.29
Russell Davis,177,1.32,No,Yes,Yes,Yes,Yes,No,22,Mechanical Engineering,4.57
Stephanie Smith,201,0.56,Yes,No,No,Yes,Yes,Yes,19,Electrical Engineering,9.78
Crystal Hoffman,28,5.31,No,No,No,Yes,Yes,No,24,Electrical Engineering,17.57
Kimberly Lewis,261,3.54,Yes,Yes,Yes,Yes,,Yes,21,Civil Engineering,10.66
Elizabeth Jimenez,434,7.6,Yes,Yes,Yes,Yes,No,Yes,18,Civil Engineering,28.15
Barbara Gross,83,5.34,No,No,Yes,Yes,Yes,No,20,Mechanical Engineering,17.17
Mitchell Pope,118,9.27,No,No,Yes,Yes,Yes,No,21,Civil Engineering,12.74
Michael Ortiz,347,6.61,Yes,No,Yes,Yes,Yes,No,24,Mechanical Engineering,16.68
Sergio Greene,493,9.99,Yes,Yes,No,Yes,,No,23,Civil Engineering,52.87
Felicia Dunn,467,7.14,Yes,No,Yes,Yes,No,No,23,Civil Engineering,48.74
Ronald Costa,239,2.43,Yes,No,No,Yes,Yes,No,25,Civil Engineering,10.27
Mr. Billy Newman,447,2.8,Yes,No,No,No,No,Yes,23,Mechanical Engineering,10.99
Karen Warren,270,9.77,No,No,Yes,Yes,No,Yes,25,Electrical Engineering,17.94
James Tyler,246,1.62,Yes,No,Yes,Yes,Yes,Yes,19,Computer Science,8.55
William Ryan,176,2,No,Yes,Yes,No,No,Yes,22,Computer Science,4.65
Kyle Phillips,127,0.78,Yes,Yes,Yes,Yes,No,No,18,Mechanical Engineering,11.22
Jared Chambers,140,0.23,No,Yes,Yes,Yes,Yes,Yes,20,Electrical Engineering,5.38
Chad Davis,96,5.91,Yes,No,No,Yes,Yes,Yes,21,Mechanical Engineering,44.92
Evan Meyer,245,7.77,Yes,No,No,Yes,No,No,19,Computer Science,19.81
Kelsey Wheeler,407,6.51,Yes,No,No,Yes,Yes,Yes,24,Electrical Engineering,50.36
Joshua Butler,103,2.21,No,No,No,No,No,Yes,22,Mechanical Engineering,3.05
Mr. Edwin Schmitt,354,1.8,No,No,No,No,Yes,No,25,Civil Engineering,3.58
John Jenkins,342,1.57,Yes,Yes,No,No,Yes,No,20,Mechanical Engineering,12.36
Melissa Ramos,364,4.59,Yes,Yes,Yes,No,No,Yes,18,Computer Science,12.41
Daniel Hardy,121,6.56,Yes,No,Yes,No,Yes,No,19,Electrical Engineering,13.27
Cassidy Scott,152,2.39,Yes,No,No,Yes,Yes,No,19,Civil Engineering,10.38
Stephanie Maxwell,282,8.54,Yes,Yes,Yes,Yes,Yes,Yes,24,Mechanical Engineering,27.81
Xavier Carey,211,7.65,No,No,No,Yes,No,No,18,Electrical Engineering,21.94
Andrew Macias,147,9.57,Yes,Yes,No,Yes,No,No,21,Civil Engineering,24.24
Shannon Thompson,66,1.21,Yes,Yes,No,No,No,Yes,24,Civil Engineering,10.9
Katherine Mcneil,466,0.28,Yes,No,Yes,,Yes,No,21,Civil Engineering,10.5
Martin Johnson,159,9.74,No,Yes,No,No,No,Yes,23,Computer Science,35.32
Craig Martinez,297,4.6,No,Yes,No,Yes,No,No,23,Mechanical Engineering,5.16
Linda Johnson,157,7.94,Yes,No,Yes,No,No,No,24,Computer Science,44.48
Annette Young,131,2.19,No,Yes,No,Yes,Yes,No,24,Computer Science,5.35
Caroline Hernandez,6,5.3,No,No,,No,No,Yes,20,Computer Science,36.69
Miss Sarah Avery DDS,1,7.56,No,No,Yes,No,No,Yes,20,Mechanical Engineering,46.26
Lori George,418,4.58,No,Yes,No,No,No,Yes,22,Computer Science,6.26
Anna Wilson,404,7.15,Yes,Yes,Yes,Yes,Yes,Yes,20,Computer Science,47.38
Debra Bradford,364,1.78,Yes,No,No,Yes,No,Yes,18,Electrical Engineering,9.37
Michael Diaz,279,7.64,No,Yes,Yes,No,No,No,22,Computer Science,42.48
Lisa Hill,163,9,No,Yes,No,No,Yes,No,19,Mechanical Engineering,11.5
Daniel Hill,246,2.87,Yes,No,Yes,Yes,No,No,23,Mechanical Engineering,9.48
Barry Williams,476,0.5,Yes,Yes,No,No,No,No,23,Mechanical Engineering,10.82
John Dawson,286,6.85,Yes,No,Yes,Yes,Yes,No,24,Civil Engineering,34.77
Michael Francis,357,6.18,No,No,No,No,No,No,22,Civil Engineering,31.45
Catherine Moreno,442,4.27,Yes,Yes,No,Yes,Yes,Yes,22,Electrical Engineering,10.9
Wendy Coleman,447,3.87,No,Yes,Yes,No,No,Yes,20,Civil Engineering,5.56
Ronald Adams,386,7.38,No,No,No,No,No,Yes,24,Mechanical Engineering,16.61
Ryan Moore,0,4.58,No,No,No,No,No,Yes,22,Civil Engineering,4.23
Adam Herman,124,7.23,Yes,No,No,No,Yes,No,21,Mechanical Engineering,44.02
Alan Taylor,103,9.77,Yes,No,Yes,Yes,No,Yes,20,Electrical Engineering,30.97
Amanda Greer,124,9.46,No,No,Yes,Yes,Yes,Yes,22,Computer Science,12.72
Ashley Perry,409,6.62,No,No,Yes,Yes,Yes,Yes,22,Civil Engineering,27.27
Jon Hawkins,348,2.64,Yes,Yes,No,Yes,Yes,No,23,Mechanical Engineering,12.74
Rebecca Baker,295,8.62,Yes,Yes,Yes,Yes,No,Yes,18,Computer Science,43.26
Beth Rodriguez,88,6.76,Yes,No,No,Yes,No,Yes,22,Civil Engineering,32.58
James Calderon,131,1.15,No,Yes,No,No,Yes,Yes,19,Computer Science,4.95
Juan Taylor,16,2.56,No,Yes,Yes,Yes,No,Yes,20,Mechanical Engineering,4.62
Rebecca Hamilton,293,3.33,Yes,Yes,Yes,No,No,Yes,21,Mechanical Engineering,11.56
Alan Erickson,165,4.78,No,Yes,No,Yes,No,No,24,Mechanical Engineering,4.87
Amy Jones,127,7.86,No,No,No,Yes,Yes,Yes,21,Computer Science,37.26
Patricia Davis,129,5.88,Yes,Yes,,Yes,Yes,Yes,23,Civil Engineering,50.81
Erin Roy,166,2.9,No,Yes,No,No,No,No,22,Civil Engineering,5.7
Rebecca Fleming,163,5.63,No,Yes,Yes,Yes,No,Yes,18,Civil Engineering,37.44
Kevin Reed,62,4.41,Yes,Yes,No,No,No,No,25,Mechanical Engineering,10.9
Dakota Johnson,127,7.98,No,Yes,Yes,Yes,Yes,No,23,Civil Engineering,36.26
Dr. Amanda Humphrey,102,9.19,Yes,No,Yes,No,Yes,Yes,20,Electrical Engineering,42.7
Timothy Allen,308,7.51,No,Yes,No,No,Yes,Yes,22,Civil Engineering,33.15
Adrienne Olsen,205,6,No,No,No,Yes,Yes,No,25,Mechanical Engineering,16.3
Margaret Williams,449,0.55,No,No,No,Yes,Yes,Yes,22,Mechanical Engineering,3.45
Brett Lewis,27,6.24,No,Yes,No,No,Yes,Yes,21,Electrical Engineering,47.18
Frank Gibson,247,5.28,Yes,Yes,No,,Yes,Yes,21,Civil Engineering,53.42
Kaitlin Horton,300,2,Yes,Yes,No,Yes,No,Yes,24,Civil Engineering,11.02
Melanie Meyer,246,9.04,Yes,No,No,Yes,Yes,Yes,25,Civil Engineering,54.27
Holly Davidson,69,5.16,No,No,Yes,Yes,No,Yes,18,Electrical Engineering,17.38
Bill Chen,138,7.59,Yes,Yes,,Yes,Yes,No,22,Computer Science,20.1
Luis Browning,26,1.27,No,Yes,No,Yes,No,No,20,Mechanical Engineering,4.56
Steven Black,440,2.19,Yes,Yes,No,No,Yes,Yes,20,Civil Engineering,11.74
Amy Johnson,17,7.96,No,No,No,No,,No,23,Computer Science,14.86
Regina Fisher,490,2.58,Yes,No,Yes,No,No,Yes,25,Electrical Engineering,9.11
Meghan Cameron,440,2.66,,Yes,Yes,Yes,No,No,19,Computer Science,12.72
Charles Nicholson,68,6.33,Yes,No,No,Yes,Yes,No,21,Mechanical Engineering,24.93
Lindsay Leach,297,7.41,No,Yes,Yes,No,No,Yes,22,Computer Science,14.46
Kimberly Moore,19,6.69,No,No,Yes,Yes,No,No,19,Electrical Engineering,34.28
Andrew Rice,320,2.82,Yes,Yes,Yes,Yes,Yes,Yes,24,Mechanical Engineering,12.34
Natalie Huber DDS,266,2.95,No,No,No,No,No,No,25,Electrical Engineering,4.17
Jonathan Perry,335,8.66,Yes,Yes,Yes,No,Yes,No,18,Electrical Engineering,29.43
Jennifer Bush,235,8.53,No,No,Yes,Yes,No,Yes,21,Computer Science,29.02
Keith Williams,235,7.94,No,No,Yes,No,No,No,23,Civil Engineering,39.23
Amy Garcia,15,9.69,Yes,No,No,No,No,Yes,24,Electrical Engineering,46.96
Daniel Waller,36,4.05,No,No,Yes,No,No,No,25,Civil Engineering,2.57
Howard Ruiz,250,6.33,Yes,Yes,Yes,No,No,No,23,Electrical Engineering,50.39
Oscar Lynn,344,4.98,Yes,Yes,No,Yes,Yes,No,24,Computer Science,11.31
Laura Holloway,175,9.1,No,Yes,Yes,No,Yes,No,21,Computer Science,25.97
Rachel Jennings,382,1.03,Yes,Yes,Yes,Yes,Yes,No,25,Computer Science,12.03
Jason Berry,373,0.53,Yes,Yes,No,Yes,No,No,23,Electrical Engineering,12.88
Andrew Acosta,234,7.78,No,No,Yes,Yes,Yes,Yes,20,Computer Science,34.73
Doris Johnson,326,9.63,No,Yes,Yes,No,Yes,No,24,Civil Engineering,11.08
Samuel Williams,310,4.8,No,Yes,No,No,No,Yes,19,Civil Engineering,4.87
Alexander Koch,164,3.81,Yes,Yes,No,No,No,No,20,Computer Science,12.9
Dustin Mcfarland,486,2.8,Yes,No,No,No,Yes,No,20,Electrical Engineering,10.45
Nicholas Smith,159,2.2,No,Yes,No,No,Yes,Yes,18,Computer Science,5.95
Krista Baker,500,8.93,No,No,Yes,Yes,Yes,No,19,Computer Science,18.15
James Marsh,31,3.49,Yes,No,No,No,No,No,23,Civil Engineering,9.68
Jim Walsh,49,3.55,No,No,No,No,No,No,21,Computer Science,3.08
Andrew Romero,315,4.8,Yes,No,No,No,Yes,No,19,Mechanical Engineering,9.7
Kimberly Roberts,39,6.49,No,No,No,Yes,No,Yes,23,Mechanical Engineering,38.99
Jessica Clark,115,2.24,Yes,No,No,Yes,No,No,20,Civil Engineering,9.46
Reginald Hendricks,90,6.72,No,Yes,No,Yes,No,No,22,Computer Science,13.48
Stephanie Russell,259,6.86,No,No,No,No,No,No,23,Computer Science,10.6
Phyllis Brown,187,4.16,Yes,No,Yes,Yes,,No,22,Electrical Engineering,10.89
Veronica Edwards,6,5.31,Yes,Yes,No,Yes,Yes,No,19,Civil Engineering,28.38
Sabrina Anderson,99,1.86,Yes,No,No,No,Yes,Yes,19,Computer Science,10.68
Gloria Brewer,236,4.77,No,Yes,No,Yes,No,No,18,Electrical Engineering,6.09
Karen Brooks,481,7.98,Yes,Yes,No,Yes,Yes,No,24,Electrical Engineering,37.1
Cheryl Snyder,152,4.66,Yes,Yes,Yes,No,Yes,Yes,22,Civil Engineering,12.93
Jessica Hernandez,386,9.27,Yes,No,Yes,No,Yes,Yes,24,Civil Engineering,52.58
Nicole Wagner,236,8.71,No,No,No,Yes,No,Yes,25,Electrical Engineering,18.76
Paul Moore,52,7.53,No,No,Yes,Yes,Yes,No,22,Mechanical Engineering,29.87
Melissa Crawford,50,6.5,Yes,Yes,Yes,No,Yes,Yes,19,Civil Engineering,32.47
David Johnson,42,6.18,No,No,Yes,No,No,Yes,25,Civil Engineering,28.54
Daniel Robinson,436,7.2,No,Yes,Yes,No,No,Yes,20,Mechanical Engineering,11.03
Joseph Vasquez,153,0.29,No,No,Yes,Yes,No,Yes,18,Computer Science,3.94
Debra Rodriguez,317,0.08,No,Yes,Yes,No,Yes,No,24,Electrical Engineering,4.66
Michael Watson,300,7.47,Yes,Yes,Yes,Yes,Yes,Yes,18,Mechanical Engineering,41.5
Jillian Anderson,318,3.72,Yes,Yes,No,Yes,Yes,Yes,21,Civil Engineering,11.61
Michael Harris,6,2.99,No,Yes,Yes,No,No,Yes,25,Electrical Engineering,4.83
Kevin Randall,350,0.99,Yes,No,Yes,Yes,No,Yes,20,Mechanical Engineering,9.95
Angela Miller,309,9.64,No,Yes,Yes,No,Yes,Yes,20,Electrical Engineering,17.88
Stephen Oliver,214,5.5,No,No,No,No,No,No,20,Computer Science,45.12
Carmen Salinas,93,2.27,No,No,No,No,Yes,Yes,25,Computer Science,3.28
Debra Bailey,412,4.37,No,Yes,Yes,Yes,No,No,24,Civil Engineering,6.47
Ryan Duncan,331,3.21,Yes,Yes,No,Yes,Yes,No,24,Civil Engineering,11.25
David Shaffer,458,6.52,Yes,Yes,No,Yes,No,Yes,22,Mechanical Engineering,22.52
Gary Trevino,280,5.22,No,Yes,Yes,Yes,No,Yes,22,Civil Engineering,32.69
Steven Simmons,485,7.13,No,No,Yes,No,No,No,24,Mechanical Engineering,38.18
Taylor Allen,70,6.68,Yes,No,No,No,No,No,19,Mechanical Engineering,36.3
Mr. Charles Craig,369,1.74,,No,No,Yes,No,No,23,Mechanical Engineering,10.75
Christopher Martin,249,1.86,No,No,Yes,Yes,No,Yes,18,Mechanical Engineering,4.43
Audrey Robertson,475,3.37,Yes,Yes,Yes,No,No,Yes,21,Mechanical Engineering,11.36
Mrs. Tonya Williams,19,5.53,No,No,Yes,No,Yes,No,24,Civil Engineering,8.04
Katherine Jackson,157,5.42,No,Yes,Yes,Yes,Yes,No,24,Civil Engineering,26.39
Ann Galvan,147,9.09,No,Yes,No,Yes,Yes,Yes,20,Electrical Engineering,28.16
Gary Hill,160,2.41,No,Yes,Yes,Yes,Yes,Yes,20,Mechanical Engineering,6.68
Roy Osborne,75,7.82,No,Yes,Yes,Yes,Yes,No,18,Computer Science,47.59
Daniel Lynch,223,8.03,No,Yes,Yes,No,No,Yes,20,Mechanical Engineering,19.56
Samuel Stokes,153,2,Yes,No,Yes,Yes,No,Yes,20,Electrical Engineering,8.96
Gregory Jackson,379,4.62,Yes,Yes,No,,Yes,Yes,19,Civil Engineering,11.6
Deborah Hayes,183,2.9,Yes,No,No,No,No,No,25,Mechanical Engineering,9.44
Erica Phillips,135,4.57,No,Yes,Yes,Yes,No,Yes,23,Mechanical Engineering,6.59
Joshua Robles,405,3.03,Yes,Yes,No,Yes,Yes,Yes,24,Computer Science,12
Eric Glenn,304,1.14,No,Yes,Yes,Yes,Yes,No,24,Mechanical Engineering,6.19
